time,(G)
43.000000,-1.344993E-1
43.142857,-1.372237E-1
43.285714,-1.419830E-1
43.428571,-1.472297E-1
43.571429,-1.547912E-1
43.714286,-1.504358E-1
43.857143,-1.538134E-1
44.000000,-1.568103E-1
44.142857,-1.612999E-1
44.285714,-1.575560E-1
44.428571,-1.566128E-1
44.571429,-1.575444E-1
44.714286,-1.574593E-1
44.857143,-1.575257E-1
45.000000,-1.510804E-1
45.142857,-1.536764E-1
45.285714,-1.527606E-1
45.428571,-1.494046E-1
45.571429,-1.513746E-1
45.714286,-1.555398E-1
45.857143,-1.545893E-1
46.000000,-1.570151E-1
46.142857,-1.580276E-1
46.285714,-1.563834E-1
46.428571,-1.566171E-1
46.571429,-1.494854E-1
46.714286,-1.520381E-1
46.857143,-1.513992E-1
47.000000,-1.529495E-1
47.142857,-1.536519E-1
47.285714,-1.526755E-1
47.428571,-1.548273E-1
47.571429,-1.542879E-1
47.714286,-1.504314E-1
47.857143,-1.536721E-1
48.000000,-1.580780E-1
48.142857,-1.564238E-1
48.285714,-1.652819E-1
48.428571,-1.792180E-1
48.571429,-1.822726E-1
48.714286,-1.887264E-1
48.857143,-1.871011E-1
49.000000,-1.897764E-1
49.142857,-1.882664E-1
49.285714,-1.857093E-1
49.428571,-1.866626E-1
49.571429,-1.878034E-1
49.714286,-1.868357E-1
49.857143,-1.851079E-1
50.000000,-1.886890E-1
50.142857,-1.890740E-1
50.285714,-1.889860E-1
50.428571,-1.892803E-1
50.571429,-1.857815E-1
50.714286,-1.893870E-1
50.857143,-1.883486E-1
51.000000,-1.871862E-1
51.142857,-1.855969E-1
51.285714,-1.866453E-1
51.428571,-1.871559E-1
51.571429,-1.847258E-1
51.714286,-1.833730E-1
51.857143,-1.886630E-1
52.000000,-1.905004E-1
52.142857,-1.931843E-1
52.285714,-1.948183E-1
52.428571,-1.906028E-1
52.571429,-1.912806E-1
52.714286,-1.979465E-1
52.857143,-2.009737E-1
53.000000,-2.073209E-1
53.142857,-2.140401E-1
53.285714,-2.234001E-1
53.428571,-2.206945E-1
53.571429,-2.200859E-1
53.714286,-2.150324E-1
53.857143,-2.141887E-1
54.000000,-2.145478E-1
54.142857,-2.148434E-1
54.285714,-2.134560E-1
