Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0.003864,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.003900,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.003936,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.003972,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004008,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004044,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004084,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004128,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004164,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004200,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004236,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004272,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004312,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004348,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004384,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004420,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004456,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004492,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004532,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004568,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004604,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004640,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004676,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004712,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004752,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.004788,0.000000,0.533000,80.386000,80.386000,15.300000,1.000000,39240.600000
0.000036,0.000000,0.533000,137.617000,77.996000,1602.600000,0.567000,2477865216.000000
