Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0.004640,0.865000,0.567000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.004676,0.929000,0.616000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.004712,0.968000,0.650000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.004752,0.992000,0.684000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.004788,0.982000,0.709000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.000036,0.982000,0.694000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000072,0.973000,0.718000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000108,0.938000,0.733000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000148,0.894000,0.733000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000184,0.811000,0.728000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000220,0.718000,0.714000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000256,0.621000,0.689000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000292,0.518000,0.655000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000328,0.425000,0.616000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000368,0.318000,0.577000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000404,0.244000,0.528000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000440,0.171000,0.484000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000476,0.122000,0.445000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000512,0.093000,0.411000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000548,0.093000,0.381000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000588,0.117000,0.362000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000624,0.152000,0.347000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000660,0.215000,0.347000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000696,0.293000,0.357000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000732,0.396000,0.381000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000768,0.484000,0.406000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000804,0.596000,0.440000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000844,0.699000,0.484000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000880,0.787000,0.528000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000916,0.860000,0.567000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000952,0.934000,0.616000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.000988,0.982000,0.655000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001024,0.992000,0.684000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001064,0.978000,0.714000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001100,0.953000,0.728000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001136,0.904000,0.738000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001172,0.816000,0.733000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001208,0.743000,0.718000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001244,0.660000,0.699000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001284,0.557000,0.660000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001320,0.450000,0.626000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001356,0.357000,0.587000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001392,0.254000,0.543000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001428,0.186000,0.499000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001464,0.137000,0.459000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001504,0.098000,0.420000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001540,0.083000,0.386000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001576,0.108000,0.367000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001612,0.137000,0.352000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001648,0.196000,0.347000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001684,0.279000,0.352000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001720,0.362000,0.371000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001756,0.464000,0.396000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001796,0.562000,0.430000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001832,0.670000,0.469000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001868,0.762000,0.508000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
0.001904,0.846000,0.557000,0.899000,0.389000,1008.100000,0.432000,1558657408.000000
