Channel 1,Channel 2
0.010090,1.437000
0.010120,1.437000
0.010150,1.437000
0.010180,1.437000
0.010210,1.437000
0.010240,1.437000
0.010260,1.437000
0.010290,1.437000
0.010320,1.437000
0.010350,1.437000
0.010380,1.437000
0.010410,1.437000
0.010440,1.437000
0.010460,1.437000
0.010500,1.437000
0.010520,1.437000
0.010550,1.437000
0.010580,1.437000
0.010610,1.437000
0.010640,1.437000
0.010670,1.437000
0.010700,1.437000
0.010720,1.437000
0.010750,1.437000
0.010780,1.437000
0.010810,1.437000
0.010840,1.437000
0.010870,1.437000
0.010900,1.442000
0.010920,1.437000
0.010950,1.437000
0.010980,1.437000
0.011010,1.437000
0.011040,1.437000
0.011070,1.437000
0.011100,1.442000
0.011120,1.442000
0.011150,1.437000
0.011190,1.437000
0.011220,1.437000
0.011240,1.437000
0.011270,1.442000
0.011300,1.437000
0.011330,1.437000
0.011360,1.437000
0.011390,1.442000
0.011420,1.437000
0.011440,1.442000
0.011470,1.442000
0.011500,1.442000
0.011530,1.442000
0.011560,1.442000
0.011590,1.442000
0.011620,1.442000
0.011640,1.442000
0.011680,1.442000
0.011700,1.442000
0.011730,1.442000
0.011760,1.442000
0.011790,1.442000
0.011820,1.442000
0.011850,1.442000
0.011880,1.442000
0.011900,1.442000
0.011930,1.442000
0.011960,1.442000
0.011990,1.442000
0.012020,1.442000
0.012050,1.442000
0.012080,1.442000
0.012100,1.442000
0.012130,1.442000
0.012160,1.442000
0.012190,1.442000
0.012220,1.442000
0.012250,1.442000
