Channel 1,Channel 2,Channel 3
0.014850,0.000000,0.000000
0.014900,0.000000,0.000000
0.014960,0.000000,0.000000
0.015010,0.000000,0.000000
0.015060,0.000000,0.000000
0.015110,0.000000,0.000000
0.015160,0.000000,0.000000
0.015220,0.000000,0.000000
0.015270,0.000000,0.000000
0.015320,0.000000,0.000000
0.015370,0.000000,0.000000
0.015420,0.000000,0.000000
0.015480,0.000000,0.000000
0.015540,0.000000,0.000000
0.015590,0.000000,0.000000
0.015640,0.000000,0.000000
0.015690,0.000000,0.000000
0.015740,0.000000,0.000000
0.015800,0.000000,0.000000
0.015850,0.000000,0.000000
0.015900,0.000000,0.000000
0.000040,0.034000,0.884653
0.000100,0.156000,0.762463
0.000160,0.254000,0.664712
0.000220,0.347000,0.571848
0.000270,0.411000,0.508309
0.000330,0.474000,0.444770
0.000390,0.528000,0.381232
0.000440,0.577000,0.337243
0.000500,0.616000,0.298143
0.000560,0.645000,0.273705
0.000610,0.679000,0.239492
0.000670,0.704000,0.210166
0.000720,0.733000,0.185728
0.000780,0.748000,0.166178
0.000840,0.767000,0.151515
0.000890,0.782000,0.136852
0.000950,0.797000,0.122190
0.001000,0.811000,0.107527
0.001060,0.816000,0.102639
0.001120,0.836000,0.083089
0.001170,0.841000,0.078201
0.001230,0.850000,0.068426
0.001280,0.855000,0.058651
0.001340,0.860000,0.053763
0.001390,0.865000,0.048876
0.001450,0.870000,0.048876
0.001500,0.875000,0.043988
0.001560,0.875000,0.043988
0.001610,0.880000,0.034213
0.001670,0.885000,0.029326
0.001720,0.890000,0.029326
0.001780,0.890000,0.029326
0.001830,0.894000,0.024438
0.001890,0.899000,0.019550
0.001940,0.899000,0.019550
0.002000,0.899000,0.019550
0.002050,0.899000,0.014663
0.002100,0.899000,0.019550
0.002160,0.899000,0.019550
0.002210,0.899000,0.019550
0.002270,0.904000,0.024438
0.002330,0.904000,0.014663
0.002380,0.904000,0.014663
0.002440,0.904000,0.009775
0.002490,0.904000,0.000000
0.002540,0.904000,0.009775
0.002600,0.904000,0.014663
0.002650,0.904000,0.014663
0.002700,0.904000,0.024438
0.002760,0.909000,0.009775
0.002810,0.909000,0.004888
0.002870,0.909000,0.009775
0.002920,0.909000,0.004888
0.002980,0.904000,0.014663
0.003030,0.909000,0.009775
0.003080,0.914000,0.004888
0.003140,0.914000,0.004888
0.003190,0.914000,0.004888
0.003240,0.914000,0.000000
0.003300,0.914000,0.000000
0.003360,0.914000,0.000000
0.003410,0.914000,0.000000
0.003470,0.914000,0.000000
0.003520,0.914000,0.004888
0.003580,0.914000,0.004888
0.003630,0.914000,0.004888
0.003680,0.914000,0.000000
0.003740,0.914000,0.004888
0.003790,0.914000,0.004888
0.003840,0.914000,0.004888
0.003900,0.914000,0.004888
0.003950,0.914000,0.004888
0.004010,0.914000,0.004888
0.004060,0.914000,0.004888
0.004120,0.914000,0.000000
0.004170,0.914000,0.004888
0.004220,0.914000,0.000000
0.004280,0.914000,0.004888
0.004330,0.914000,0.004888
0.004390,0.914000,0.004888
0.004440,0.914000,0.000000
0.004490,0.914000,0.004888
0.004540,0.914000,0.004888
0.004600,0.914000,0.004888
0.004650,0.914000,0.004888
0.004700,0.914000,0.004888
0.004760,0.914000,0.004888
0.004810,0.914000,0.004888
0.004860,0.914000,0.004888
0.004920,0.914000,0.004888
0.004970,0.914000,0.004888
0.005020,0.914000,0.004888
0.005080,0.914000,0.004888
0.005130,0.914000,0.004888
0.005180,0.914000,0.004888
0.005240,0.914000,0.004888
0.005290,0.914000,0.000000
0.005350,0.914000,0.004888
0.005400,0.914000,0.004888
0.005450,0.914000,0.004888
0.005500,0.914000,0.004888
0.005560,0.914000,0.004888
0.005610,0.914000,0.004888
0.005660,0.914000,0.004888
0.005720,0.914000,0.000000
0.005770,0.914000,0.004888
0.005820,0.914000,0.004888
0.005880,0.914000,0.004888
0.005930,0.914000,0.004888
0.005980,0.914000,0.004888
0.006040,0.914000,0.004888
0.006090,0.914000,0.004888
0.006140,0.914000,0.004888
0.006200,0.914000,0.004888
0.006250,0.914000,0.004888
0.006300,0.914000,0.004888
0.006350,0.914000,0.004888
0.006410,0.914000,0.004888
0.006460,0.914000,0.004888
0.006510,0.914000,0.000000
0.006560,0.914000,0.004888
0.006620,0.914000,0.004888
0.006670,0.914000,0.004888
0.006720,0.914000,0.004888
0.006780,0.914000,0.004888
0.006830,0.914000,0.004888
0.006880,0.914000,0.004888
0.006940,0.914000,0.000000
0.006990,0.914000,0.004888
0.007040,0.914000,0.004888
0.007100,0.914000,0.004888
0.007150,0.914000,0.004888
0.007200,0.914000,0.000000
0.007260,0.914000,0.004888
0.007310,0.914000,0.000000
0.007360,0.914000,0.004888
0.007410,0.914000,0.004888
0.007470,0.914000,0.004888
0.007520,0.914000,0.004888
0.007570,0.914000,0.004888
0.007620,0.914000,0.004888
0.007680,0.914000,0.004888
0.007730,0.914000,0.004888
0.007780,0.914000,0.004888
0.007840,0.914000,0.004888
0.007890,0.914000,0.004888
0.007940,0.914000,0.004888
0.008000,0.914000,0.004888
0.008050,0.914000,0.004888
0.008100,0.914000,0.004888
0.008140,0.860000,-0.860000
0.008200,0.753000,-0.753000
0.008250,0.660000,-0.660000
0.008300,0.587000,-0.587000
0.008360,0.518000,-0.518000
0.008410,0.459000,-0.459000
0.008460,0.406000,-0.406000
0.008510,0.362000,-0.362000
0.008560,0.318000,-0.318000
0.008620,0.283000,-0.283000
0.008670,0.249000,-0.249000
0.008720,0.225000,-0.225000
0.008770,0.200000,-0.200000
0.008820,0.176000,-0.176000
0.008880,0.156000,-0.156000
0.008930,0.137000,-0.137000
0.008980,0.122000,-0.122000
0.009040,0.112000,-0.112000
0.009090,0.098000,-0.098000
0.009140,0.083000,-0.083000
0.009190,0.073000,-0.073000
0.009240,0.068000,-0.068000
0.009300,0.059000,-0.059000
0.009350,0.054000,-0.054000
0.009400,0.044000,-0.044000
0.009450,0.039000,-0.039000
0.009500,0.034000,-0.034000
0.009560,0.034000,-0.034000
0.009610,0.029000,-0.029000
0.009660,0.024000,-0.024000
0.009710,0.020000,-0.020000
0.009760,0.015000,-0.015000
0.009820,0.015000,-0.015000
0.009870,0.015000,-0.015000
0.009920,0.010000,-0.010000
0.009980,0.010000,-0.010000
0.010030,0.010000,-0.010000
0.010080,0.005000,-0.005000
0.010140,0.005000,-0.005000
0.010190,0.005000,-0.005000
0.010240,0.000000,0.000000
0.010290,0.000000,0.000000
0.010340,0.000000,0.000000
0.010400,0.000000,0.000000
0.010450,0.000000,0.000000
0.010500,0.000000,0.000000
0.010550,0.000000,0.000000
0.010600,0.000000,0.000000
0.010660,0.000000,0.000000
0.010710,0.000000,0.000000
0.010760,0.000000,0.000000
0.010810,0.000000,0.000000
0.010860,0.000000,0.000000
0.010920,0.000000,0.000000
0.010970,0.000000,0.000000
0.011020,0.000000,0.000000
0.011080,0.000000,0.000000
0.011130,0.000000,0.000000
0.011180,0.000000,0.000000
0.011230,0.000000,0.000000
0.011280,0.000000,0.000000
0.011340,0.000000,0.000000
0.011390,0.000000,0.000000
0.011440,0.000000,0.000000
0.011490,0.000000,0.000000
0.011540,0.000000,0.000000
0.011600,0.000000,0.000000
0.011650,0.000000,0.000000
0.011700,0.000000,0.000000
0.011750,0.000000,0.000000
0.011800,0.000000,0.000000
0.011860,0.000000,0.000000
0.011910,0.000000,0.000000
0.011960,0.000000,0.000000
0.012010,0.000000,0.000000
0.012060,0.000000,0.000000
0.012120,0.000000,0.000000
0.012170,0.000000,0.000000
0.012220,0.000000,0.000000
0.012270,0.000000,0.000000
0.012320,0.000000,0.000000
0.012380,0.000000,0.000000
0.012430,0.000000,0.000000
0.012480,0.000000,0.000000
0.012530,0.000000,0.000000
0.012580,0.000000,0.000000
0.012640,0.000000,0.000000
0.012690,0.000000,0.000000
0.012740,0.000000,0.000000
0.012790,0.000000,0.000000
0.012840,0.000000,0.000000
0.012900,0.000000,0.000000
0.012950,0.000000,0.000000
0.013000,0.000000,0.000000
0.013050,0.000000,0.000000
0.013100,0.000000,0.000000
0.013160,0.000000,0.000000
0.013210,0.000000,0.000000
0.013260,0.000000,0.000000
0.013310,0.000000,0.000000
0.013360,0.000000,0.000000
0.013420,0.000000,0.000000
0.013470,0.000000,0.000000
0.013520,0.000000,0.000000
0.013570,0.000000,0.000000
0.013620,0.000000,0.000000
0.013680,0.000000,0.000000
0.013730,0.000000,0.000000
0.013780,0.000000,0.000000
0.013830,0.000000,0.000000
0.013880,0.000000,0.000000
0.013940,0.000000,0.000000
0.013990,0.000000,0.000000
0.014040,0.000000,0.000000
0.014100,0.000000,0.000000
0.014150,0.000000,0.000000
0.014200,0.000000,0.000000
0.014260,0.000000,0.000000
0.014310,0.000000,0.000000
0.014360,0.000000,0.000000
0.014410,0.000000,0.000000
0.014460,0.000000,0.000000
0.014520,0.000000,0.000000
0.014570,0.000000,0.000000
0.014620,0.000000,0.000000
0.014670,0.000000,0.000000
0.014720,0.000000,0.000000
0.014780,0.000000,0.000000
0.014830,0.000000,0.000000
0.014880,0.000000,0.000000
0.014930,0.000000,0.000000
0.014980,0.000000,0.000000
0.015040,0.000000,0.000000
0.015090,0.000000,0.000000
0.015140,0.000000,0.000000
0.015190,0.000000,0.000000
0.015240,0.000000,0.000000
0.015300,0.000000,0.000000
0.015350,0.000000,0.000000
0.015400,0.000000,0.000000
0.015450,0.000000,0.000000
0.015500,0.000000,0.000000
0.015560,0.000000,0.000000
0.015610,0.000000,0.000000
0.015660,0.000000,0.000000
0.015710,0.000000,0.000000
0.015760,0.000000,0.000000
0.015820,0.000000,0.000000
0.015870,0.000000,0.000000
0.015920,0.000000,0.000000
