time	V(v1)	V(v2)
1.376683239287137e-002	5.000000e+000	4.874466e+000
1.385890828572851e-002	5.000000e+000	4.885252e+000
1.395098417858565e-002	5.000000e+000	4.895220e+000
1.404306007144279e-002	5.000000e+000	4.904372e+000
1.413513596429993e-002	5.000000e+000	4.912706e+000
1.422721185715707e-002	5.000000e+000	4.920223e+000
1.431928775001421e-002	5.000000e+000	4.926923e+000
1.441234723215504e-002	5.000000e+000	4.933166e+000
1.450540671429586e-002	5.000000e+000	4.938966e+000
1.459846619643669e-002	5.000000e+000	4.944324e+000
1.469152567857752e-002	5.000000e+000	4.949239e+000
1.478458516071835e-002	5.000000e+000	4.953711e+000
1.487764464285917e-002	5.000000e+000	4.957740e+000
1.497070412500000e-002	5.000000e+000	4.961327e+000
1.500000100000000e-002	5.000000e+000	4.962419e+000
1.500000200000000e-002	0.000000e+000	4.962416e+000
1.509388448214490e-002	0.000000e+000	4.535291e+000
1.518776696428980e-002	0.000000e+000	4.138637e+000
1.528164944643470e-002	0.000000e+000	3.772454e+000
1.537553192857960e-002	0.000000e+000	3.436741e+000
1.546941441072449e-002	0.000000e+000	3.131500e+000
1.556329689286939e-002	0.000000e+000	2.856730e+000
1.565717937501429e-002	0.000000e+000	2.612430e+000
1.574925526787144e-002	0.000000e+000	2.391397e+000
1.584133116072858e-002	0.000000e+000	2.185930e+000
1.593340705358573e-002	0.000000e+000	1.996030e+000
1.602548294644288e-002	0.000000e+000	1.821697e+000
1.611755883930002e-002	0.000000e+000	1.662931e+000
1.620963473215717e-002	0.000000e+000	1.519732e+000
1.630171062501432e-002	0.000000e+000	1.392099e+000
1.639378651787146e-002	0.000000e+000	1.274316e+000
1.648586241072861e-002	0.000000e+000	1.164828e+000
1.657793830358575e-002	0.000000e+000	1.063635e+000
1.667001419644290e-002	0.000000e+000	9.707372e-001
1.676209008930005e-002	0.000000e+000	8.861347e-001
1.685416598215719e-002	0.000000e+000	8.098273e-001
1.694624187501434e-002	0.000000e+000	7.418152e-001
1.703831776787149e-002	0.000000e+000	6.790514e-001
1.713039366072863e-002	0.000000e+000	6.207079e-001
1.722246955358578e-002	0.000000e+000	5.667847e-001
1.731454544644293e-002	0.000000e+000	5.172818e-001
1.740662133930007e-002	0.000000e+000	4.721992e-001
1.749869723215722e-002	0.000000e+000	4.315369e-001
1.759077312501436e-002	0.000000e+000	3.952949e-001
1.768284901787151e-002	0.000000e+000	3.618497e-001
1.777492491072866e-002	0.000000e+000	3.307599e-001
1.786700080358580e-002	0.000000e+000	3.020255e-001
1.795907669644295e-002	0.000000e+000	2.756467e-001
1.805115258930010e-002	0.000000e+000	2.516233e-001
1.814322848215724e-002	0.000000e+000	2.299553e-001
1.823530437501439e-002	0.000000e+000	2.106429e-001
1.832738026787154e-002	0.000000e+000	1.928207e-001
1.841945616072868e-002	0.000000e+000	1.762537e-001
1.851153205358583e-002	0.000000e+000	1.609419e-001
1.860360794644297e-002	0.000000e+000	1.468853e-001
1.869568383930012e-002	0.000000e+000	1.340838e-001
1.878775973215727e-002	0.000000e+000	1.225375e-001
1.887983562501441e-002	0.000000e+000	1.122464e-001
1.897191151787156e-002	0.000000e+000	1.027494e-001
1.906398741072871e-002	0.000000e+000	9.392125e-002
1.915606330358585e-002	0.000000e+000	8.576197e-002
1.924813919644300e-002	0.000000e+000	7.827153e-002
1.934021508930015e-002	0.000000e+000	7.144994e-002
1.943229098215729e-002	0.000000e+000	6.529720e-002
1.952436687501444e-002	0.000000e+000	5.981331e-002
1.959010023215110e-002	0.000000e+000	5.612804e-002
1.965583358928776e-002	0.000000e+000	5.263983e-002
1.972156694642442e-002	0.000000e+000	4.934866e-002
1.978730030356109e-002	0.000000e+000	4.625456e-002
1.985303366069775e-002	0.000000e+000	4.335750e-002
